x,y,label,img_path
6.197212,4.419384,Real-gene0,data/samples_umap/real/gene_0/gene0_1018_AF_B-2_0.png
4.7292776,3.2736456,Real-gene0,data/samples_umap/real/gene_0/gene0_0887_AF_B-0_0.png
2.662746,2.4622064,Real-gene0,data/samples_umap/real/gene_0/gene0_0623_AF_B-0_0.png
4.745996,3.1472692,Real-gene0,data/samples_umap/real/gene_0/gene0_0814_AF_B-1_0.png
6.2200756,4.1965027,Real-gene0,data/samples_umap/real/gene_0/gene0_0620_AF_B-0_0.png
11.333034,4.4836235,Real-gene0,data/samples_umap/real/gene_0/gene0_1313_AF_B-0_0.png
6.1361876,2.6507149,Real-gene0,data/samples_umap/real/gene_0/gene0_1513_AF_B-1_0.png
9.417827,3.941249,Real-gene0,data/samples_umap/real/gene_0/gene0_1872_AF_B-0_0.png
8.520222,3.5439894,Real-gene0,data/samples_umap/real/gene_0/gene0_1411_AF_B-1_0.png
7.9077206,3.816184,Real-gene0,data/samples_umap/real/gene_0/gene0_0472_AF_B-0_0.png
12.627425,4.9178777,Real-gene0,data/samples_umap/real/gene_0/gene0_1105_AF_B-0_0.png
10.415952,3.9989128,Real-gene0,data/samples_umap/real/gene_0/gene0_1409_AF_B-0_0.png
5.995129,2.7374306,Real-gene0,data/samples_umap/real/gene_0/gene0_0219_AF_B-0_0.png
5.955992,2.6415575,Real-gene0,data/samples_umap/real/gene_0/gene0_0424_AF_B-1_0.png
5.755665,3.751924,Real-gene0,data/samples_umap/real/gene_0/gene0_0942_AF_B-0_0.png
6.588077,2.723127,Real-gene0,data/samples_umap/real/gene_0/gene0_0963_AF_B-0_0.png
3.6417277,2.4784281,Real-gene0,data/samples_umap/real/gene_0/gene0_1400_AF_B-3_0.png
11.26843,5.2614,Real-gene0,data/samples_umap/real/gene_0/gene0_0062_AF_B-0_0.png
5.688122,3.9828725,Real-gene0,data/samples_umap/real/gene_0/gene0_0374_AF_B-0_0.png
8.3621855,3.2359393,Real-gene0,data/samples_umap/real/gene_0/gene0_0030_AF_B-0_0.png
4.756401,3.3572338,Real-gene0,data/samples_umap/real/gene_0/gene0_0083_AF_B-0_0.png
8.96313,5.17401,Real-gene0,data/samples_umap/real/gene_0/gene0_1283_AF_B-1_0.png
9.588202,3.9304254,Real-gene0,data/samples_umap/real/gene_0/gene0_1792_AF_B-0_0.png
11.036724,3.073344,Real-gene0,data/samples_umap/real/gene_0/gene0_1774_AF_B-0_0.png
12.254416,3.334984,Real-gene0,data/samples_umap/real/gene_0/gene0_1383_AF_B-0_0.png
5.4877386,3.1107237,Real-gene0,data/samples_umap/real/gene_0/gene0_1393_AF_B-0_0.png
9.936909,4.9800224,Real-gene0,data/samples_umap/real/gene_0/gene0_0858_AF_B-1_0.png
9.0464525,3.5476816,Real-gene0,data/samples_umap/real/gene_0/gene0_0597_AF_B-0_0.png
9.561311,5.349798,Real-gene0,data/samples_umap/real/gene_0/gene0_0231_AF_B-0_0.png
5.9927325,2.923883,Real-gene0,data/samples_umap/real/gene_0/gene0_1092_AF_B-0_0.png
12.109021,6.0007644,Real-gene0,data/samples_umap/real/gene_0/gene0_1676_AF_B-0_0.png
11.177176,2.7692459,Real-gene0,data/samples_umap/real/gene_0/gene0_1030_AF_B-0_0.png
3.0909338,2.672012,Real-gene0,data/samples_umap/real/gene_0/gene0_0718_AF_B-0_0.png
6.342252,4.4449816,Real-gene0,data/samples_umap/real/gene_0/gene0_0026_AF_B-0_0.png
2.7146878,3.248272,Real-gene0,data/samples_umap/real/gene_0/gene0_0158_AF_B-0_0.png
8.343238,4.1085453,Real-gene0,data/samples_umap/real/gene_0/gene0_1373_AF_B-0_0.png
3.862913,2.9695096,Real-gene0,data/samples_umap/real/gene_0/gene0_0464_AF_B-1_0.png
4.0764565,3.1944726,Real-gene0,data/samples_umap/real/gene_0/gene0_0818_AF_B-1_0.png
2.7245774,2.120118,Real-gene0,data/samples_umap/real/gene_0/gene0_0287_AF_B-0_0.png
6.3918543,2.881172,Real-gene0,data/samples_umap/real/gene_0/gene0_0909_AF_B-2_0.png
3.8409653,2.4732988,Real-gene0,data/samples_umap/real/gene_0/gene0_1406_AF_B-0_0.png
12.628596,4.962962,Real-gene0,data/samples_umap/real/gene_0/gene0_1106_AF_B-1_0.png
3.2583234,2.3334162,Real-gene0,data/samples_umap/real/gene_0/gene0_0106_AF_B-0_0.png
7.9847255,3.339992,Real-gene0,data/samples_umap/real/gene_0/gene0_1416_AF_B-0_0.png
8.108512,5.1247983,Real-gene0,data/samples_umap/real/gene_0/gene0_1332_AF_B-0_0.png
6.8262315,3.1533067,Real-gene0,data/samples_umap/real/gene_0/gene0_1818_AF_B-0_0.png
8.218868,4.674821,Real-gene0,data/samples_umap/real/gene_0/gene0_1388_AF_B-1_0.png
5.0215216,3.5457444,Real-gene0,data/samples_umap/real/gene_0/gene0_1477_AF_B-0_0.png
4.79188,4.034655,Real-gene0,data/samples_umap/real/gene_0/gene0_1025_AF_B-0_0.png
1.8165846,5.3314934,Real-gene0,data/samples_umap/real/gene_0/gene0_0570_AF_B-0_0.png
5.4184613,2.966741,Real-gene0,data/samples_umap/real/gene_0/gene0_0521_AF_B-0_0.png
8.458617,3.2204564,Real-gene0,data/samples_umap/real/gene_0/gene0_0049_AF_B-0_0.png
