gen_id,seed,img_path,w_npz_path,gene_class_idx,z_dim,w_dim,num_ws,trunc
00010500,10500,data/gene_36class/generated/gene_35/images/seed10500_latClass_35.png,data/gene_36class/generated/gene_35/w/00010500.npz,35,512,512,16,0.7
00010501,10501,data/gene_36class/generated/gene_35/images/seed10501_latClass_35.png,data/gene_36class/generated/gene_35/w/00010501.npz,35,512,512,16,0.7
00010502,10502,data/gene_36class/generated/gene_35/images/seed10502_latClass_35.png,data/gene_36class/generated/gene_35/w/00010502.npz,35,512,512,16,0.7
00010503,10503,data/gene_36class/generated/gene_35/images/seed10503_latClass_35.png,data/gene_36class/generated/gene_35/w/00010503.npz,35,512,512,16,0.7
00010504,10504,data/gene_36class/generated/gene_35/images/seed10504_latClass_35.png,data/gene_36class/generated/gene_35/w/00010504.npz,35,512,512,16,0.7
00010505,10505,data/gene_36class/generated/gene_35/images/seed10505_latClass_35.png,data/gene_36class/generated/gene_35/w/00010505.npz,35,512,512,16,0.7
00010506,10506,data/gene_36class/generated/gene_35/images/seed10506_latClass_35.png,data/gene_36class/generated/gene_35/w/00010506.npz,35,512,512,16,0.7
00010507,10507,data/gene_36class/generated/gene_35/images/seed10507_latClass_35.png,data/gene_36class/generated/gene_35/w/00010507.npz,35,512,512,16,0.7
00010508,10508,data/gene_36class/generated/gene_35/images/seed10508_latClass_35.png,data/gene_36class/generated/gene_35/w/00010508.npz,35,512,512,16,0.7
00010509,10509,data/gene_36class/generated/gene_35/images/seed10509_latClass_35.png,data/gene_36class/generated/gene_35/w/00010509.npz,35,512,512,16,0.7
00010510,10510,data/gene_36class/generated/gene_35/images/seed10510_latClass_35.png,data/gene_36class/generated/gene_35/w/00010510.npz,35,512,512,16,0.7
00010511,10511,data/gene_36class/generated/gene_35/images/seed10511_latClass_35.png,data/gene_36class/generated/gene_35/w/00010511.npz,35,512,512,16,0.7
00010512,10512,data/gene_36class/generated/gene_35/images/seed10512_latClass_35.png,data/gene_36class/generated/gene_35/w/00010512.npz,35,512,512,16,0.7
00010513,10513,data/gene_36class/generated/gene_35/images/seed10513_latClass_35.png,data/gene_36class/generated/gene_35/w/00010513.npz,35,512,512,16,0.7
00010514,10514,data/gene_36class/generated/gene_35/images/seed10514_latClass_35.png,data/gene_36class/generated/gene_35/w/00010514.npz,35,512,512,16,0.7
00010515,10515,data/gene_36class/generated/gene_35/images/seed10515_latClass_35.png,data/gene_36class/generated/gene_35/w/00010515.npz,35,512,512,16,0.7
00010516,10516,data/gene_36class/generated/gene_35/images/seed10516_latClass_35.png,data/gene_36class/generated/gene_35/w/00010516.npz,35,512,512,16,0.7
00010517,10517,data/gene_36class/generated/gene_35/images/seed10517_latClass_35.png,data/gene_36class/generated/gene_35/w/00010517.npz,35,512,512,16,0.7
00010518,10518,data/gene_36class/generated/gene_35/images/seed10518_latClass_35.png,data/gene_36class/generated/gene_35/w/00010518.npz,35,512,512,16,0.7
00010519,10519,data/gene_36class/generated/gene_35/images/seed10519_latClass_35.png,data/gene_36class/generated/gene_35/w/00010519.npz,35,512,512,16,0.7
00010520,10520,data/gene_36class/generated/gene_35/images/seed10520_latClass_35.png,data/gene_36class/generated/gene_35/w/00010520.npz,35,512,512,16,0.7
00010521,10521,data/gene_36class/generated/gene_35/images/seed10521_latClass_35.png,data/gene_36class/generated/gene_35/w/00010521.npz,35,512,512,16,0.7
00010522,10522,data/gene_36class/generated/gene_35/images/seed10522_latClass_35.png,data/gene_36class/generated/gene_35/w/00010522.npz,35,512,512,16,0.7
00010523,10523,data/gene_36class/generated/gene_35/images/seed10523_latClass_35.png,data/gene_36class/generated/gene_35/w/00010523.npz,35,512,512,16,0.7
00010524,10524,data/gene_36class/generated/gene_35/images/seed10524_latClass_35.png,data/gene_36class/generated/gene_35/w/00010524.npz,35,512,512,16,0.7
00010525,10525,data/gene_36class/generated/gene_35/images/seed10525_latClass_35.png,data/gene_36class/generated/gene_35/w/00010525.npz,35,512,512,16,0.7
00010526,10526,data/gene_36class/generated/gene_35/images/seed10526_latClass_35.png,data/gene_36class/generated/gene_35/w/00010526.npz,35,512,512,16,0.7
00010527,10527,data/gene_36class/generated/gene_35/images/seed10527_latClass_35.png,data/gene_36class/generated/gene_35/w/00010527.npz,35,512,512,16,0.7
00010528,10528,data/gene_36class/generated/gene_35/images/seed10528_latClass_35.png,data/gene_36class/generated/gene_35/w/00010528.npz,35,512,512,16,0.7
00010529,10529,data/gene_36class/generated/gene_35/images/seed10529_latClass_35.png,data/gene_36class/generated/gene_35/w/00010529.npz,35,512,512,16,0.7
00010530,10530,data/gene_36class/generated/gene_35/images/seed10530_latClass_35.png,data/gene_36class/generated/gene_35/w/00010530.npz,35,512,512,16,0.7
00010531,10531,data/gene_36class/generated/gene_35/images/seed10531_latClass_35.png,data/gene_36class/generated/gene_35/w/00010531.npz,35,512,512,16,0.7
00010532,10532,data/gene_36class/generated/gene_35/images/seed10532_latClass_35.png,data/gene_36class/generated/gene_35/w/00010532.npz,35,512,512,16,0.7
00010533,10533,data/gene_36class/generated/gene_35/images/seed10533_latClass_35.png,data/gene_36class/generated/gene_35/w/00010533.npz,35,512,512,16,0.7
00010534,10534,data/gene_36class/generated/gene_35/images/seed10534_latClass_35.png,data/gene_36class/generated/gene_35/w/00010534.npz,35,512,512,16,0.7
00010535,10535,data/gene_36class/generated/gene_35/images/seed10535_latClass_35.png,data/gene_36class/generated/gene_35/w/00010535.npz,35,512,512,16,0.7
00010536,10536,data/gene_36class/generated/gene_35/images/seed10536_latClass_35.png,data/gene_36class/generated/gene_35/w/00010536.npz,35,512,512,16,0.7
00010537,10537,data/gene_36class/generated/gene_35/images/seed10537_latClass_35.png,data/gene_36class/generated/gene_35/w/00010537.npz,35,512,512,16,0.7
