x,y,label,img_path
-3.7695522,4.5914965,Real-gene0,data/samples_umap/real/gene_0/gene0_1018_AF_B-2_0.png
-3.0540078,6.3560643,Real-gene0,data/samples_umap/real/gene_0/gene0_0887_AF_B-0_0.png
-3.086905,7.722448,Real-gene0,data/samples_umap/real/gene_0/gene0_0623_AF_B-0_0.png
-3.8009262,5.626279,Real-gene0,data/samples_umap/real/gene_0/gene0_0814_AF_B-1_0.png
-3.9291177,4.344403,Real-gene0,data/samples_umap/real/gene_0/gene0_0620_AF_B-0_0.png
-6.7299027,-1.6435574,Real-gene0,data/samples_umap/real/gene_0/gene0_1313_AF_B-0_0.png
-5.9064374,0.85240626,Real-gene0,data/samples_umap/real/gene_0/gene0_1513_AF_B-1_0.png
-6.5135593,1.1974294,Real-gene0,data/samples_umap/real/gene_0/gene0_1872_AF_B-0_0.png
-6.483744,1.8372339,Real-gene0,data/samples_umap/real/gene_0/gene0_1411_AF_B-1_0.png
-6.032427,1.5409449,Real-gene0,data/samples_umap/real/gene_0/gene0_0472_AF_B-0_0.png
-6.698067,-1.8281735,Real-gene0,data/samples_umap/real/gene_0/gene0_1105_AF_B-0_0.png
-7.1716022,-0.21478134,Real-gene0,data/samples_umap/real/gene_0/gene0_1409_AF_B-0_0.png
-4.7546105,3.8205009,Real-gene0,data/samples_umap/real/gene_0/gene0_0219_AF_B-0_0.png
-5.135613,3.4199584,Real-gene0,data/samples_umap/real/gene_0/gene0_0424_AF_B-1_0.png
-3.4322119,5.1171007,Real-gene0,data/samples_umap/real/gene_0/gene0_0942_AF_B-0_0.png
-5.3689103,4.02124,Real-gene0,data/samples_umap/real/gene_0/gene0_0963_AF_B-0_0.png
-3.438756,6.7955,Real-gene0,data/samples_umap/real/gene_0/gene0_1400_AF_B-3_0.png
-7.7172008,-1.3416309,Real-gene0,data/samples_umap/real/gene_0/gene0_0062_AF_B-0_0.png
-3.3850293,4.5315127,Real-gene0,data/samples_umap/real/gene_0/gene0_0374_AF_B-0_0.png
-6.123129,2.1552825,Real-gene0,data/samples_umap/real/gene_0/gene0_0030_AF_B-0_0.png
-4.676153,3.5258684,Real-gene0,data/samples_umap/real/gene_0/gene0_0083_AF_B-0_0.png
-4.964526,1.6287146,Real-gene0,data/samples_umap/real/gene_0/gene0_1283_AF_B-1_0.png
-6.8622656,1.2271122,Real-gene0,data/samples_umap/real/gene_0/gene0_1792_AF_B-0_0.png
-7.5597954,-0.59075093,Real-gene0,data/samples_umap/real/gene_0/gene0_1774_AF_B-0_0.png
-7.848946,-0.85868174,Real-gene0,data/samples_umap/real/gene_0/gene0_1383_AF_B-0_0.png
-3.7551105,4.456036,Real-gene0,data/samples_umap/real/gene_0/gene0_1393_AF_B-0_0.png
-4.843509,1.0984313,Real-gene0,data/samples_umap/real/gene_0/gene0_0858_AF_B-1_0.png
-7.1262283,0.26063377,Real-gene0,data/samples_umap/real/gene_0/gene0_0597_AF_B-0_0.png
-4.801181,1.340318,Real-gene0,data/samples_umap/real/gene_0/gene0_0231_AF_B-0_0.png
-3.747636,6.7877593,Real-gene0,data/samples_umap/real/gene_0/gene0_1092_AF_B-0_0.png
-7.8605847,-1.7291474,Real-gene0,data/samples_umap/real/gene_0/gene0_1676_AF_B-0_0.png
-7.8564916,-0.785409,Real-gene0,data/samples_umap/real/gene_0/gene0_1030_AF_B-0_0.png
-2.9305596,6.976305,Real-gene0,data/samples_umap/real/gene_0/gene0_0718_AF_B-0_0.png
-4.609474,3.650179,Real-gene0,data/samples_umap/real/gene_0/gene0_0026_AF_B-0_0.png
-2.8652337,6.4392505,Real-gene0,data/samples_umap/real/gene_0/gene0_0158_AF_B-0_0.png
-6.4960074,2.2858284,Real-gene0,data/samples_umap/real/gene_0/gene0_1373_AF_B-0_0.png
-3.4048574,5.044104,Real-gene0,data/samples_umap/real/gene_0/gene0_0464_AF_B-1_0.png
-3.8482215,5.341177,Real-gene0,data/samples_umap/real/gene_0/gene0_0818_AF_B-1_0.png
-3.0920339,7.6837583,Real-gene0,data/samples_umap/real/gene_0/gene0_0287_AF_B-0_0.png
-4.121934,5.714161,Real-gene0,data/samples_umap/real/gene_0/gene0_0909_AF_B-2_0.png
-3.2856858,6.9091043,Real-gene0,data/samples_umap/real/gene_0/gene0_1406_AF_B-0_0.png
-6.7523804,-1.7533352,Real-gene0,data/samples_umap/real/gene_0/gene0_1106_AF_B-1_0.png
-3.2691274,6.4477177,Real-gene0,data/samples_umap/real/gene_0/gene0_0106_AF_B-0_0.png
-5.636163,3.2016432,Real-gene0,data/samples_umap/real/gene_0/gene0_1416_AF_B-0_0.png
-4.849543,1.4260604,Real-gene0,data/samples_umap/real/gene_0/gene0_1332_AF_B-0_0.png
-5.864356,2.6753874,Real-gene0,data/samples_umap/real/gene_0/gene0_1818_AF_B-0_0.png
-4.89188,2.2623756,Real-gene0,data/samples_umap/real/gene_0/gene0_1388_AF_B-1_0.png
-4.918151,3.7066002,Real-gene0,data/samples_umap/real/gene_0/gene0_1477_AF_B-0_0.png
-3.4568136,5.215711,Real-gene0,data/samples_umap/real/gene_0/gene0_1025_AF_B-0_0.png
-3.5644627,4.475914,Real-gene0,data/samples_umap/real/gene_0/gene0_0570_AF_B-0_0.png
-5.03248,3.8007398,Real-gene0,data/samples_umap/real/gene_0/gene0_0521_AF_B-0_0.png
-6.502927,1.6489769,Real-gene0,data/samples_umap/real/gene_0/gene0_0049_AF_B-0_0.png
-2.6678383,7.602753,Real-gene0,data/samples_umap/real/gene_0/gene0_0754_AF_B-0_0.png
-6.796133,-1.8810468,Real-gene0,data/samples_umap/real/gene_0/gene0_1310_AF_B-0_0.png
-7.2540007,-0.0756792,Real-gene0,data/samples_umap/real/gene_0/gene0_0502_AF_B-0_0.png
-5.399088,2.3883505,Real-gene0,data/samples_umap/real/gene_0/gene0_0784_AF_B-0_0.png
